ICE/DXH2010,"US Dollar Index Futures, March 2010 (DXH2010)"
ICE/KCK1986,"Coffee Futures, May 1986, KCK1986, ICE"
ICE/SFK2010,"Sugar No. 16 Futures, May 2010 (SFK2010)"
ICE/SFX2013,"Sugar No. 16 Futures, November 2013 (SFX2013)"
ICE/SFU2014,"Sugar No. 16 Futures, September 2014 (SFU2014)"
ICE/SFK2011,"Sugar No. 16 Futures, May 2011 (SFK2011)"
ICE/SFU2012,"Sugar No. 16 Futures, September 2012 (SFU2012)"
ICE/SFF2016,"Sugar No. 16 Futures, January 2016 (SFF2016)"
ICE/SFK2009,"Sugar No. 16 Futures, May 2009 (SFK2009)"
ICE/SFF2015,"Sugar No. 16 Futures, January 2015 (SFF2015)"
ICE/SFX2015,"Sugar No. 16 Futures, November 2015 (SFX2015)"
ICE/SFH2016,"Sugar No. 16 Futures, March 2016 (SFH2016)"
ICE/BN2012,"Brent Crude Futures, July 2012 (BN2012)"
ICE/SFF2009,"Sugar No. 16 Futures, January 2009 (SFF2009)"
ICE/SFX2012,"Sugar No. 16 Futures, November 2012 (SFX2012)"
ICE/ULSH2017,"Low Sulphur Gasoil Futures, March 2017 (ULSH2017)"
ICE/SFN2011,"Sugar No. 16 Futures, July 2011 (SFN2011)"
ICE/SFH2013,"Sugar No. 16 Futures, March 2013 (SFH2013)"
ICE/KRUH2014,"RUB/USD 2.5, March 2014 (KRUH2014)"
ICE/SFF2012,"Sugar No. 16 Futures, January 2012 (SFF2012)"
ICE/TFM2014,"Russell 2000 Index Mini Futures, June 2014 (TFM2014)"
ICE/SFN2014,"Sugar No. 16 Futures, July 2014 (SFN2014)"
ICE/SFK2013,"Sugar No. 16 Futures, May 2013 (SFK2013)"
ICE/TFMM2014,"Endex Dutch TTF Gas Base Load Futures, June 2014 (TFMM2014)"
ICE/AFRZ2007,"Richards Bay Coal Futures, December 2007 (AFRZ2007)"
ICE/SBH1964,"Sugar No. 11 Futures, March 1964, SBH1964, ICE"
ICE/CCU1978,"Cocoa Futures, September 1978, CCU1978, ICE"
ICE/WAK2013,"Milling Wheat Futures, May 2013 (WAK2013)"
ICE/SBF2004,"Sugar No. 11 Futures, January 2004 (SBF2004)"
ICE/SBV1980,"Sugar No. 11 Futures, October 1980, SBV1980, ICE"
ICE/SYU2005,"GBP/JPY, September 2005 (SYU2005)"
ICE/CCN1985,"Cocoa Futures, July 1985, CCN1985, ICE"
ICE/MG2011,"UK Natural Gas Futures, February 2011 (MG2011)"
ICE/SBU1978,"Sugar No. 11 Futures, September 1978, SBU1978, ICE"
ICE/YM2005,"UK Base Electricity Futures, June 2005 (YM2005)"
ICE/OJK1976,"Orange Juice Futures, May 1976, OJK1976, ICE"
ICE/OJF1972,"Orange Juice Futures, January 1972, OJF1972, ICE"
ICE/OJU1986,"Orange Juice Futures, September 1986, OJU1986, ICE"
ICE/PF2009,"UK Peak Electricity Futures, January 2009 (PF2009)"
ICE/GH2014,"Gas Oil Futures, March 2014 (GH2014)"
ICE/CCK1999,"Cocoa Futures, May 1999 (CCK1999)"
ICE/CTV1994,"Cotton No. 2 Futures, October 1994, CTV1994, ICE"
ICE/CEUX2021,"ECX EUAA Futures, November 2021 (CEUX2021)"
ICE/ATWV2007,"Rotterdam Coal Futures, October 2007 (ATWV2007)"
ICE/PK2010,"UK Peak Electricity Futures, May 2010 (PK2010)"
ICE/SBV1994,"Sugar No. 11 Futures, October 1994 (SBV1994)"
ICE/NJZ2014,"Norwegian Krone/Swedish Krona Futures, December 2014 (NJZ2014)"
ICE/NF2009,"(RBOB) Gasoline Futures, January 2009 (NF2009)"
